product_name, price(PLN), camera(Mpix), ram(GB), storage(GB), diagonal(inch), waterproof
Smartfon Apple  iPhone XR 256 GB Dual SIM ¯ó³ty  (MRYN2PM/A),3 879.75 z³,12,3,256,6.1",IP67
Smartfon Apple iPhone 11 128 GB Dual SIM ¯ó³ty  (MWM42PM/A),3 924.99 z³,12,4,128,6.1",IPXX
Smartfon Apple iPhone 11 128 GB Dual SIM Fioletowy  (MWM52PM/A),3 924.99 z³,12,4,128,6.1",IPXX
Smartfon Apple iPhone XS 256 GB Dual SIM Z³oty  (MT9K2PM/A),3 979 z³,12,4,256,5.8",IP68
Smartfon Apple iPhone XS 256 GB Dual SIM Srebrny  (MT9J2PM/A),3 979 z³,12,4,256,5.8",IP68
Smartfon Apple iPhone XS Max 64 GB Dual SIM Srebrny  (MT512PM/A),3 988.95 z³,12,4,64,6.5",IPXX
Smartfon Apple iPhone 8 256 GB Czerwony  (MRRN2PM/A),4 089.75 z³,12,2,256,4.7",IP67
Smartfon Apple  iPhone XR 256 GB Dual SIM Czerwony ,4 089.75 z³,12,3,256,6.1",IP67
Smartfon Apple iPhone 11 256 GB Dual SIM Czarny  (MWM72PM/A),4 257.80 z³,12,4,256,6.1",IPXX
Smartfon Apple iPhone 11 256 GB Dual SIM ¯ó³ty  (MWMA2PM/A),4 331.99 z³,12,4,256,6.1",IPXX
Smartfon Apple iPhone 11 256 GB Dual SIM Zielony  (MWMD2PM/A),4 331.99 z³,12,4,256,6.1",IPXX
Smartfon Apple iPhone 11 256 GB Dual SIM Czerwony  (MWM92PM/A),4 433.99 z³,12,4,256,6.1",IPXX
Smartfon Apple iPhone 11 256 GB Dual SIM Fioletowy  (MWMC2PM/A),4 433.99 z³,12,4,256,6.1",IPXX
Smartfon Apple iPhone XS Max 256 GB Dual SIM Szary  (MT532PM/A),4 604.25 z³,12,4,256,6.5",IPXX
Smartfon Apple iPhone 11 256 GB Dual SIM Bia³y  (MWM82PM/A),4 633.99 z³,12,4,256,6.1",IPXX
Smartfon Apple iPhone XS 512 GB Dual SIM Szary ,4 824.75 z³,12,4,512,5.8",IP68
Smartfon Apple iPhone XS Max 64 GB Dual SIM Z³oty  (MT522PM/A),5 038.95 z³,12,4,64,6.5",IP68
Smartfon Apple iPhone XS 512 GB Dual SIM Z³oty  (MT9N2PM/A),5 142.90 z³,12,4,512,5.8",IPXX
Smartfon Apple iPhone 11 Pro Max 64 GB Dual SIM Srebrny  (MWHF2PM/A),5 346.99 z³,12,4,64,6.5",IP68
Smartfon Apple iPhone 11 Pro Max 64 GB Dual SIM Z³oty  (MWHG2PM/A),5 379 z³,12,4,64,6.5",IP68
Smartfon Apple iPhone XS 512 GB Dual SIM Srebrny ,5 535.60 z³,12,4,512,5.8",IP68
Smartfon Apple iPhone XS 512 GB Dual SIM Srebrny ,5 535.60 z³,12,4,512,5.8",IP68
Smartfon Apple iPhone 11 Pro 256 GB Dual SIM Zielony  (MWCC2PM/A),5 880.59 z³,12,4,256,5.8",IP68
Smartfon Apple iPhone 11 Pro 256 GB Dual SIM Z³oty  (MWC92PM/A),5 919 z³,12,4,256,5.8",IPXX
Smartfon Apple iPhone XS Max 512 GB Dual SIM Szary  (MT562PM/A),5 982.90 z³,12,4,512,6.5",IP68
Smartfon Apple iPhone XS Max 256 GB Dual SIM Z³oty ,6 084.75 z³,12,4,256,6.5",IP68
Smartfon Apple iPhone XS Max 512 GB Dual SIM Srebrny  (MT572CN/A),6 088.95 z³,12,4,512,6.5",IPXX
Smartfon Apple iPhone 11 Pro Max 256 GB Dual SIM Z³oty ,6 402.90 z³,12,4,256,6.5",IPXX
Smartfon Apple iPhone 11 Pro Max 256 GB Dual SIM Z³oty  (MWHL2PM/A),6 415.99 z³,12,4,256,6.5",IP68
Smartfon Apple iPhone 11 Pro Max 256 GB Dual SIM Srebrny  (MWHK2PM/A),6 421.99 z³,12,4,256,6.5",IP68
Smartfon Apple iPhone 11 Pro Max 256 GB Dual SIM Zielony  (MWHM2PM/A),6 421.99 z³,12,4,256,6.5",IP68
Smartfon Apple iPhone 11 Pro 512 GB Dual SIM Srebrny  (MWCE2PM/A),6 774.99 z³,12,4,512,5.8",IPXX
Smartfon Apple iPhone 11 Pro 512 GB Dual SIM Szary  (MWCD2PM/A),6 931.99 z³,12,4,512,5.8",IP68
Smartfon Apple iPhone 11 Pro 512 GB Dual SIM Zielony  (MWCG2PM/A),6 931.99 z³,12,4,512,5.8",IP68
Smartfon Apple iPhone 11 Pro 512 GB Dual SIM Z³oty  (MWCF2PM/A),6 931.99 z³,12,4,512,5.8",IPXX
Smartfon Apple iPhone XS Max 512 GB Dual SIM Z³oty  (MT582ZD/A),7 155.99 z³,12,4,512,6.5",IPXX
Smartfon Apple iPhone 11 Pro 512 GB Dual SIM Szary  (MWHN2PM/A),7 283.99 z³,12,4,512,5.8",IPXX
Smartfon Apple iPhone 11 Pro Max 512 GB Dual SIM Z³oty  (MWHQ2PM/A),7 441.99 z³,12,4,512,6.5",IP68
Smartfon Apple iPhone 11 Pro Max 256 GB Dual SIM Zielony  (MWHR2PM/A),7 441.99 z³,12,4,256,6.5",IP68
Smartfon Apple iPhone 11 Pro Max 512 GB Dual SIM Srebrny  (MWHP2PM/A),7 607.25 z³,12,4,512,6.5",IP68
